www.gocharting.com

date,open,high,low,close,volume,open_interest
"Mon Aug 28 2023 15:15:00 GMT+0530 (India Standard Time)","47.65","50.1","47","47.8","106785","168210",
"Tue Aug 29 2023 09:15:00 GMT+0530 (India Standard Time)","55.5","63.95","50.1","51.55","87107","188310",
"Tue Aug 29 2023 09:30:00 GMT+0530 (India Standard Time)","51.45","53.05","49.3","50.75","53895","198915",
"Tue Aug 29 2023 09:45:00 GMT+0530 (India Standard Time)","50.65","54.65","48.3","49.65","59115","209865",
"Tue Aug 29 2023 10:00:00 GMT+0530 (India Standard Time)","49.5","50.4","47.6","49.5","73140","209700",
"Tue Aug 29 2023 10:15:00 GMT+0530 (India Standard Time)","49.45","49.45","41.15","43.25","76545","203025",
"Tue Aug 29 2023 10:30:00 GMT+0530 (India Standard Time)","43","46.1","42.75","45.95","23535","208770",
"Tue Aug 29 2023 10:45:00 GMT+0530 (India Standard Time)","46","47.05","43.45","46","22110","211170",
"Tue Aug 29 2023 11:00:00 GMT+0530 (India Standard Time)","45.9","46.95","43","43.4","19800","214755",
"Tue Aug 29 2023 11:15:00 GMT+0530 (India Standard Time)","43.35","45","42.5","44.7","18270","212115",
"Tue Aug 29 2023 11:30:00 GMT+0530 (India Standard Time)","44.95","47.25","44.4","46.95","19950","210630",
"Tue Aug 29 2023 11:45:00 GMT+0530 (India Standard Time)","46.8","47.65","44.2","45.65","28260","214890",
"Tue Aug 29 2023 12:00:00 GMT+0530 (India Standard Time)","46","47.8","45.35","46","40005","228810",
"Tue Aug 29 2023 12:15:00 GMT+0530 (India Standard Time)","45.85","47.15","45.85","46.75","13215","229155",
"Tue Aug 29 2023 12:30:00 GMT+0530 (India Standard Time)","47.3","48.3","40.75","45.2","54030","232170",
"Tue Aug 29 2023 12:45:00 GMT+0530 (India Standard Time)","45.2","46","43.8","44.85","22230","233235",
"Tue Aug 29 2023 13:00:00 GMT+0530 (India Standard Time)","45.05","46.95","44.1","44.15","45930","233745",
"Tue Aug 29 2023 13:15:00 GMT+0530 (India Standard Time)","44.5","45.5","39.8","43.2","31845","232710",
"Tue Aug 29 2023 13:30:00 GMT+0530 (India Standard Time)","43.4","43.7","41.3","42","20715","232965",
"Tue Aug 29 2023 13:45:00 GMT+0530 (India Standard Time)","41.7","42.65","40.45","40.7","18090","233790",
"Tue Aug 29 2023 14:00:00 GMT+0530 (India Standard Time)","40.45","42.6","40.35","40.35","12825","234330",
"Tue Aug 29 2023 14:15:00 GMT+0530 (India Standard Time)","40.6","41.15","36.7","37.65","80715","236250",
"Tue Aug 29 2023 14:30:00 GMT+0530 (India Standard Time)","37.5","39.15","37.05","38","27060","240390",
"Tue Aug 29 2023 14:45:00 GMT+0530 (India Standard Time)","37.95","38.95","36.8","36.85","31260","239160",
"Tue Aug 29 2023 15:00:00 GMT+0530 (India Standard Time)","37.1","38.5","36.5","37.25","48090","248235",
"Tue Aug 29 2023 15:15:00 GMT+0530 (India Standard Time)","37.35","38.15","36.15","36.25","133950","255285",
"Wed Aug 30 2023 09:15:00 GMT+0530 (India Standard Time)","45.75","59.35","45","53","238518","266235",
"Wed Aug 30 2023 09:30:00 GMT+0530 (India Standard Time)","53","59.55","53","55.45","122865","263430",
"Wed Aug 30 2023 09:45:00 GMT+0530 (India Standard Time)","55.25","57.25","49.45","52.6","119610","267255",
"Wed Aug 30 2023 10:00:00 GMT+0530 (India Standard Time)","52","53.2","49.5","51.45","69060","278205",
"Wed Aug 30 2023 10:15:00 GMT+0530 (India Standard Time)","51.3","51.8","44.3","45.1","75420","287415",
"Wed Aug 30 2023 10:30:00 GMT+0530 (India Standard Time)","45.05","46.55","44.65","46.55","133590","300195",
"Wed Aug 30 2023 10:45:00 GMT+0530 (India Standard Time)","46.45","47.55","45","46.75","42570","300705",
"Wed Aug 30 2023 11:00:00 GMT+0530 (India Standard Time)","47.1","47.5","46.1","46.95","20070","306525",
"Wed Aug 30 2023 11:15:00 GMT+0530 (India Standard Time)","47.2","47.3","43.8","45.7","45060","311235",
"Wed Aug 30 2023 11:30:00 GMT+0530 (India Standard Time)","45.7","46.8","43.65","44.8","54075","311580",
"Wed Aug 30 2023 11:45:00 GMT+0530 (India Standard Time)","44.8","44.8","42.15","44.4","70470","305415",
"Wed Aug 30 2023 12:00:00 GMT+0530 (India Standard Time)","44.45","45.65","43.45","45.45","32205","304500",
"Wed Aug 30 2023 12:15:00 GMT+0530 (India Standard Time)","45.75","45.75","43.65","44.35","27495","304485",
"Wed Aug 30 2023 12:30:00 GMT+0530 (India Standard Time)","44.65","45","41.1","43.35","37665","313035",
"Wed Aug 30 2023 12:45:00 GMT+0530 (India Standard Time)","43.2","43.35","38.65","40","135075","328200",
"Wed Aug 30 2023 13:00:00 GMT+0530 (India Standard Time)","39.8","41.55","38.4","41.4","49785","346545",
