www.gocharting.com

date,open,high,low,close,volume,open_interest
"Wed Jul 26 2023 11:30:00 GMT+0530 (India Standard Time)","359.05","360.85","359.05","360.85","30","4230",
"Wed Jul 26 2023 11:35:00 GMT+0530 (India Standard Time)","359.4","359.4","359.4","359.4","15","4230",
"Wed Jul 26 2023 11:45:00 GMT+0530 (India Standard Time)","363.35","363.35","363.35","363.35","30","4245",
"Wed Jul 26 2023 12:10:00 GMT+0530 (India Standard Time)","374.4","374.4","374.4","374.4","30","4245",
"Wed Jul 26 2023 12:15:00 GMT+0530 (India Standard Time)","372.15","372.15","372.15","372.15","30","4215",
"Wed Jul 26 2023 12:25:00 GMT+0530 (India Standard Time)","377.5","377.5","377.5","377.5","45","4185",
"Wed Jul 26 2023 12:30:00 GMT+0530 (India Standard Time)","377.5","377.5","377.5","377.5","15","4140",
"Wed Jul 26 2023 12:35:00 GMT+0530 (India Standard Time)","376","376","376","376","15","4125",
"Wed Jul 26 2023 12:40:00 GMT+0530 (India Standard Time)","383.2","383.2","383.2","383.2","225","4110",
"Wed Jul 26 2023 12:45:00 GMT+0530 (India Standard Time)","383.2","383.2","383.2","383.2","15","4110",
"Wed Jul 26 2023 12:50:00 GMT+0530 (India Standard Time)","390","390","390","390","15","4095",
"Wed Jul 26 2023 13:00:00 GMT+0530 (India Standard Time)","390","390","370","370","30","4095",
"Wed Jul 26 2023 13:05:00 GMT+0530 (India Standard Time)","370","370","370","370","30","4110",
"Wed Jul 26 2023 13:15:00 GMT+0530 (India Standard Time)","370.25","375","370.25","375","105","4110",
"Wed Jul 26 2023 13:20:00 GMT+0530 (India Standard Time)","385","390","385","390","45","4110",
"Wed Jul 26 2023 13:25:00 GMT+0530 (India Standard Time)","399.5","399.5","399.5","399.5","30","4065",
"Wed Jul 26 2023 13:40:00 GMT+0530 (India Standard Time)","399.5","399.5","399.5","399.5","75","4035",
"Wed Jul 26 2023 13:45:00 GMT+0530 (India Standard Time)","399.5","399.5","399.5","399.5","15","4110",
"Wed Jul 26 2023 14:05:00 GMT+0530 (India Standard Time)","398","398","392.4","392.4","30","4095",
"Wed Jul 26 2023 14:25:00 GMT+0530 (India Standard Time)","407","407","407","407","45","4065",
"Wed Jul 26 2023 14:30:00 GMT+0530 (India Standard Time)","404.3","404.3","404.3","404.3","30","4035",
"Wed Jul 26 2023 14:35:00 GMT+0530 (India Standard Time)","385.7","385.7","385.7","385.7","15","4035",
"Wed Jul 26 2023 14:40:00 GMT+0530 (India Standard Time)","382.7","385","382.7","385","45","4035",
"Wed Jul 26 2023 14:45:00 GMT+0530 (India Standard Time)","380","380","380","380","15","4080",
"Wed Jul 26 2023 14:50:00 GMT+0530 (India Standard Time)","370","370","370","370","30","4095",
"Wed Jul 26 2023 14:55:00 GMT+0530 (India Standard Time)","360","377.25","360","377.25","135","4185",
"Wed Jul 26 2023 15:00:00 GMT+0530 (India Standard Time)","394.3","394.3","394.3","394.3","165","4185",
"Wed Jul 26 2023 15:05:00 GMT+0530 (India Standard Time)","389.95","389.95","389.95","389.95","105","4065",
"Wed Jul 26 2023 15:10:00 GMT+0530 (India Standard Time)","395","395","390","390","60","4050",
"Wed Jul 26 2023 15:20:00 GMT+0530 (India Standard Time)","399.95","399.95","389.95","389.95","45","4065",
