www.gocharting.com

date,open,high,low,close,volume,open_interest
"Tue Aug 08 2023 09:15:00 GMT+0530 (India Standard Time)","127.5","138.55","114.8","132.95","173763","220890",
"Tue Aug 08 2023 10:15:00 GMT+0530 (India Standard Time)","133.6","195.8","131.5","143.4","283905","276300",
"Tue Aug 08 2023 11:15:00 GMT+0530 (India Standard Time)","141.35","152.4","128.8","150.4","177075","291000",
"Tue Aug 08 2023 12:15:00 GMT+0530 (India Standard Time)","150.8","161.95","135.45","148.2","97680","293925",
"Tue Aug 08 2023 13:15:00 GMT+0530 (India Standard Time)","148.55","156.3","137","139.95","99360","296085",
"Tue Aug 08 2023 14:15:00 GMT+0530 (India Standard Time)","142.25","156","119.6","123.7","246435","298140",
"Tue Aug 08 2023 15:15:00 GMT+0530 (India Standard Time)","123.3","128.9","120","128.9","110865","312405",
"Wed Aug 09 2023 09:15:00 GMT+0530 (India Standard Time)","125.95","125.95","80.55","81.95","670336","345255",
"Wed Aug 09 2023 10:15:00 GMT+0530 (India Standard Time)","81.45","82.4","68","70.85","386070","377055",
"Wed Aug 09 2023 11:15:00 GMT+0530 (India Standard Time)","70.9","72.9","63.95","72.1","223350","383955",
"Wed Aug 09 2023 12:15:00 GMT+0530 (India Standard Time)","71.95","79.45","68.45","73","176385","401835",
"Wed Aug 09 2023 13:15:00 GMT+0530 (India Standard Time)","73.8","82.1","68.05","79.2","167865","414915",
"Wed Aug 09 2023 14:15:00 GMT+0530 (India Standard Time)","78.95","102.2","74.9","100.5","651960","377715",
"Wed Aug 09 2023 15:15:00 GMT+0530 (India Standard Time)","101.1","103.6","94","94.65","305460","450990",
"Thu Aug 10 2023 09:15:00 GMT+0530 (India Standard Time)","90","109.25","69.9","108.85","1189788","534285",
"Thu Aug 10 2023 10:15:00 GMT+0530 (India Standard Time)","108.95","117.75","51.6","56.05","1435500","613290",
"Thu Aug 10 2023 11:15:00 GMT+0530 (India Standard Time)","55.85","62.25","48.3","49.4","755955","622410",
"Thu Aug 10 2023 12:15:00 GMT+0530 (India Standard Time)","49","51.2","46.35","49.8","616575","713280",
"Thu Aug 10 2023 13:15:00 GMT+0530 (India Standard Time)","49.4","52.1","31.55","34.75","1070325","811965",
"Thu Aug 10 2023 14:15:00 GMT+0530 (India Standard Time)","34.7","39","32.45","38.5","2067930","1206285",
