www.gocharting.com

date,open,high,low,close,volume,open_interest
"Thu Jul 27 2023 13:00:00 GMT+0530 (India Standard Time)","541.55","563.75","517.75","563.75","1410","13020",
"Thu Jul 27 2023 13:15:00 GMT+0530 (India Standard Time)","568","577.3","531","531","870","12705",
"Thu Jul 27 2023 13:30:00 GMT+0530 (India Standard Time)","532.1","552.15","522.05","547.1","795","12375",
"Thu Jul 27 2023 13:45:00 GMT+0530 (India Standard Time)","542.75","551.6","542.75","551.6","75","12315",
"Thu Jul 27 2023 14:00:00 GMT+0530 (India Standard Time)","543.25","554.4","530.1","554.4","705","11925",
"Thu Jul 27 2023 14:15:00 GMT+0530 (India Standard Time)","555","559.4","521.05","525.7","750","11850",
"Thu Jul 27 2023 14:30:00 GMT+0530 (India Standard Time)","525","531.5","475.05","481","2220","13035",
"Thu Jul 27 2023 14:45:00 GMT+0530 (India Standard Time)","494.95","502.85","463","463","1950","13860",
"Thu Jul 27 2023 15:00:00 GMT+0530 (India Standard Time)","463","492.85","463","492.85","975","14130",
"Thu Jul 27 2023 15:15:00 GMT+0530 (India Standard Time)","498.95","516.45","495","516.45","540","14160",
"Fri Jul 28 2023 09:15:00 GMT+0530 (India Standard Time)","524.95","524.95","331","340","4141","15255",
"Fri Jul 28 2023 09:30:00 GMT+0530 (India Standard Time)","342","355.85","336.05","350","3615","15270",
"Fri Jul 28 2023 09:45:00 GMT+0530 (India Standard Time)","350","362.2","336","352.8","1905","15720",
"Fri Jul 28 2023 10:00:00 GMT+0530 (India Standard Time)","352.85","352.85","331.6","331.6","525","15975",
"Fri Jul 28 2023 10:15:00 GMT+0530 (India Standard Time)","332","337.75","320","337.75","1065","16425",
"Fri Jul 28 2023 10:30:00 GMT+0530 (India Standard Time)","336","340","333.35","339.35","720","16545",
"Fri Jul 28 2023 10:45:00 GMT+0530 (India Standard Time)","352.85","352.85","331","331","1005","16545",
"Fri Jul 28 2023 11:00:00 GMT+0530 (India Standard Time)","342.85","342.85","342.85","342.85","15","16545",
"Fri Jul 28 2023 11:15:00 GMT+0530 (India Standard Time)","331.05","335.5","320","320.4","930","17010",
"Fri Jul 28 2023 11:30:00 GMT+0530 (India Standard Time)","325","325","318","318","420","17130",
"Fri Jul 28 2023 11:45:00 GMT+0530 (India Standard Time)","318","333","318","325","780","17295",
"Fri Jul 28 2023 12:00:00 GMT+0530 (India Standard Time)","325","327.5","307.25","307.25","870","17190",
"Fri Jul 28 2023 12:15:00 GMT+0530 (India Standard Time)","315.7","320","308.85","320","3735","17295",
"Fri Jul 28 2023 12:30:00 GMT+0530 (India Standard Time)","320","325","314.9","325","165","17370",
"Fri Jul 28 2023 12:45:00 GMT+0530 (India Standard Time)","320.05","320.05","307","314.45","1020","17505",
"Fri Jul 28 2023 13:00:00 GMT+0530 (India Standard Time)","310","314","304.4","314","135","17565",
"Fri Jul 28 2023 13:15:00 GMT+0530 (India Standard Time)","311.35","312.5","278.35","292.5","825","17775",
"Fri Jul 28 2023 13:30:00 GMT+0530 (India Standard Time)","296","298.4","269.9","275.35","1065","17625",
"Fri Jul 28 2023 13:45:00 GMT+0530 (India Standard Time)","275","283.7","270.65","277.1","6465","20475",
"Fri Jul 28 2023 14:00:00 GMT+0530 (India Standard Time)","280.05","293.55","273.55","290.5","1260","20985",
"Fri Jul 28 2023 14:15:00 GMT+0530 (India Standard Time)","285.7","300","285.7","298","1845","20745",
"Fri Jul 28 2023 14:30:00 GMT+0530 (India Standard Time)","293","294.7","276.2","294.7","1005","20925",
"Fri Jul 28 2023 14:45:00 GMT+0530 (India Standard Time)","309.45","311.4","302.1","310","1425","20700",
"Fri Jul 28 2023 15:00:00 GMT+0530 (India Standard Time)","313.25","338","313.25","331.85","4080","19950",
"Fri Jul 28 2023 15:15:00 GMT+0530 (India Standard Time)","335","338.5","305.4","318.1","6480","21060",
"Mon Jul 31 2023 09:15:00 GMT+0530 (India Standard Time)","330.45","338.7","291.55","310","2192","22920",
"Mon Jul 31 2023 09:30:00 GMT+0530 (India Standard Time)","298.25","320","296.05","305","615","22995",
"Mon Jul 31 2023 09:45:00 GMT+0530 (India Standard Time)","300","321.45","300","319.15","2310","22365",
"Mon Jul 31 2023 10:00:00 GMT+0530 (India Standard Time)","320.25","330","319.2","322","1845","23295",
"Mon Jul 31 2023 10:15:00 GMT+0530 (India Standard Time)","323","335","310","335","495","23370",
"Mon Jul 31 2023 10:30:00 GMT+0530 (India Standard Time)","300","330.65","300","330.35","900","23430",
"Mon Jul 31 2023 10:45:00 GMT+0530 (India Standard Time)","327.75","340.45","323.05","340","1275","23475",
"Mon Jul 31 2023 11:00:00 GMT+0530 (India Standard Time)","342","348.6","334.5","340","1275","23955",
"Mon Jul 31 2023 11:15:00 GMT+0530 (India Standard Time)","340","340","333.05","340","225","24105",
"Mon Jul 31 2023 11:30:00 GMT+0530 (India Standard Time)","339.5","345.25","333.3","345.25","630","24135",
"Mon Jul 31 2023 11:45:00 GMT+0530 (India Standard Time)","346.55","346.55","330","330.9","975","24585",
"Mon Jul 31 2023 12:00:00 GMT+0530 (India Standard Time)","332.2","343","327.45","343","420","24975",
"Mon Jul 31 2023 12:15:00 GMT+0530 (India Standard Time)","331.3","342.95","320","320","585","25020",
"Mon Jul 31 2023 12:30:00 GMT+0530 (India Standard Time)","320","325","316.25","325","660","25080",
"Mon Jul 31 2023 12:45:00 GMT+0530 (India Standard Time)","323.9","339.95","323.9","339","1170","25245",
"Mon Jul 31 2023 13:00:00 GMT+0530 (India Standard Time)","336.55","349.55","330.55","343","1110","25305",
"Mon Jul 31 2023 13:15:00 GMT+0530 (India Standard Time)","343","350","343","348","660","25095",
"Mon Jul 31 2023 13:30:00 GMT+0530 (India Standard Time)","349.95","354.55","337.85","337.85","1215","24915",
"Mon Jul 31 2023 13:45:00 GMT+0530 (India Standard Time)","347.25","352","334.05","340","1095","24375",
"Mon Jul 31 2023 14:00:00 GMT+0530 (India Standard Time)","347.95","363","340","347.75","2520","22935",
"Mon Jul 31 2023 14:15:00 GMT+0530 (India Standard Time)","347.7","361.25","347.7","348.5","1215","23775",
"Mon Jul 31 2023 14:30:00 GMT+0530 (India Standard Time)","363","365","358","362","510","23745",
"Mon Jul 31 2023 14:45:00 GMT+0530 (India Standard Time)","357.45","357.45","340","349.9","285","23835",
"Mon Jul 31 2023 15:00:00 GMT+0530 (India Standard Time)","359.4","371.5","350","355.1","2535","",
"Mon Jul 31 2023 15:15:00 GMT+0530 (India Standard Time)","355","362.5","352.7","359.5","1695","24390",
"Tue Aug 01 2023 09:15:00 GMT+0530 (India Standard Time)","369","381.95","354.65","356.95","1456","24315",
"Tue Aug 01 2023 09:30:00 GMT+0530 (India Standard Time)","357.05","366.45","340.85","350","1470","24765",
"Tue Aug 01 2023 09:45:00 GMT+0530 (India Standard Time)","347.9","358.8","342.05","343.3","915","24840",
"Tue Aug 01 2023 10:00:00 GMT+0530 (India Standard Time)","344","354.6","342.05","354.6","765","25395",
"Tue Aug 01 2023 10:15:00 GMT+0530 (India Standard Time)","351.4","351.4","333.95","333.95","375","25590",
"Tue Aug 01 2023 10:30:00 GMT+0530 (India Standard Time)","330","330","310","316.2","1395","26415",
"Tue Aug 01 2023 10:45:00 GMT+0530 (India Standard Time)","315","315","300.95","313.8","2280","26490",
"Tue Aug 01 2023 11:00:00 GMT+0530 (India Standard Time)","313.05","313.05","300","301.65","1665","26925",
"Tue Aug 01 2023 11:15:00 GMT+0530 (India Standard Time)","302.8","308.05","292.65","302","1245","26955",
"Tue Aug 01 2023 11:30:00 GMT+0530 (India Standard Time)","301.2","307","293.4","307","225","26925",
"Tue Aug 01 2023 11:45:00 GMT+0530 (India Standard Time)","310.25","310.25","298.55","298.55","480","26925",
"Tue Aug 01 2023 12:00:00 GMT+0530 (India Standard Time)","301.85","302.05","290.1","295.7","615","27195",
"Tue Aug 01 2023 12:15:00 GMT+0530 (India Standard Time)","295.7","297.45","283","283","1245","27255",
"Tue Aug 01 2023 12:30:00 GMT+0530 (India Standard Time)","280.15","283.55","262.3","268","2175","28905",
"Tue Aug 01 2023 12:45:00 GMT+0530 (India Standard Time)","267.9","277.7","264.85","271.35","1350","29430",
"Tue Aug 01 2023 13:00:00 GMT+0530 (India Standard Time)","272.3","282.2","268.8","282.2","465","29430",
"Tue Aug 01 2023 13:15:00 GMT+0530 (India Standard Time)","282.2","291.85","282.2","291.85","1245","29160",
"Tue Aug 01 2023 13:30:00 GMT+0530 (India Standard Time)","291.5","306.45","291.5","295.75","1230","28575",
