www.gocharting.com,,,,,,
,,,,,,
date,open,high,low,close,volume,open_interest
Fri Jul 28 2023 11:15:00 GMT+0530 (India Standard Time),551.2,554,545.8,550,630,6330
Fri Jul 28 2023 11:30:00 GMT+0530 (India Standard Time),550.35,573.45,540,540,150,6495
Fri Jul 28 2023 11:45:00 GMT+0530 (India Standard Time),541,552.45,538,552.45,555,7020
Fri Jul 28 2023 12:00:00 GMT+0530 (India Standard Time),551.8,556.35,528.6,556.35,2970,6765
Fri Jul 28 2023 12:15:00 GMT+0530 (India Standard Time),548.6,548.6,525,532.55,1425,7125
Fri Jul 28 2023 12:30:00 GMT+0530 (India Standard Time),550,552,540,545.9,255,7140
Fri Jul 28 2023 12:45:00 GMT+0530 (India Standard Time),536.5,536.8,518,518,285,7155
Fri Jul 28 2023 13:00:00 GMT+0530 (India Standard Time),518,546.05,518,536,240,7380
Fri Jul 28 2023 13:15:00 GMT+0530 (India Standard Time),532.9,532.95,500,500,450,7680
Fri Jul 28 2023 13:30:00 GMT+0530 (India Standard Time),500,514.45,478,478,990,7905
Fri Jul 28 2023 13:45:00 GMT+0530 (India Standard Time),483.4,496.55,480.05,496.55,780,8100
Fri Jul 28 2023 14:00:00 GMT+0530 (India Standard Time),489.7,500,489.7,499.65,225,8280
Fri Jul 28 2023 14:15:00 GMT+0530 (India Standard Time),509.95,520.05,509.95,520,1065,8355
Fri Jul 28 2023 14:30:00 GMT+0530 (India Standard Time),499.15,515.15,489,501.35,750,8265
Fri Jul 28 2023 14:45:00 GMT+0530 (India Standard Time),529.4,550,520,550,1170,7560
Fri Jul 28 2023 15:00:00 GMT+0530 (India Standard Time),559.5,582.35,555.95,574.8,1215,7800
Fri Jul 28 2023 15:15:00 GMT+0530 (India Standard Time),574,578.9,546.65,557.15,1320,8115
Mon Jul 31 2023 09:15:00 GMT+0530 (India Standard Time),565.55,565.55,515.45,541,3452,9960
Mon Jul 31 2023 09:30:00 GMT+0530 (India Standard Time),540,551.25,530.25,540.2,1860,11040
Mon Jul 31 2023 09:45:00 GMT+0530 (India Standard Time),529.5,556,529.5,554.9,1440,10410
Mon Jul 31 2023 10:00:00 GMT+0530 (India Standard Time),553.4,564.05,550,550,585,10200
Mon Jul 31 2023 10:15:00 GMT+0530 (India Standard Time),560,575,540,568.45,2070,8400
Mon Jul 31 2023 10:30:00 GMT+0530 (India Standard Time),567.95,570.3,550,570.3,480,8445
Mon Jul 31 2023 10:45:00 GMT+0530 (India Standard Time),565.9,586.5,564.2,583.1,2160,9540
Mon Jul 31 2023 11:00:00 GMT+0530 (India Standard Time),595.15,598,578.5,583.4,1980,11325
